Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1981-04-23	123	49	184	10.0	128		261	355
1981-11-20	136	56	230	10.0	183		257	436
1982-03-30	126	50	179	9.0	201		269	299
1982-11-02	135	55	235	10.0	177		336	383
1983-05-13	134	55	230	10.0	183		321	370
1983-10-06	142	123	299	11.0	231		549	505
1984-07-02	168	47	136	4.0	212		250	267
1985-02-18	150	46	168	5.0	238		249	272
1985-10-02	175	54	298	1.0	207		346	525
1986-07-25	208	71	290	6.0	170		347	625
1987-09-30	160	64	247	5.0	138		294	520
1988-11-12	119	51	129	3.0	51		317	236
1989-06-06	133	44	130	3.0	131		283	216
1989-10-18	125	52	111	3.0	102		300	200
1993-11-29	88	37	27	2.0	190	0.0	189	39
1994-06-02	128	41	149	5.0	222		240	208
1995-05-11	147	51	159	3.0	237	0.0	241	284
1995-11-02	155	65	234	4.0	175	0.0	218	500
1996-05-27	160	61	75	3.0	170	0.0	420	120
1996-11-04	201	55	158	4.0	205	0.0	285	350
1997-11-10	205	54	175	4.0	214	0.0	280	398
1998-05-25	28	24	6	0.0	191	0.0	8	13
1998-10-06	190	74	233	4.0	168	0.0	402	536
1999-05-03	189	74	272	5.0	161	0.0	358	575
1999-10-29	237	89	479	7.0	163	0.0	289	1016
2000-05-03	209	74	258	5.0	201	0.0	252	598
2000-11-10	102	33	44	2.0	116	0.0	255	52
2001-05-02	292	158	536	10.0	175	0.0	358	1310
