Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1976-10-17	91	28	23	2.0	153		202	39
1977-05-09	112	26	24	2.0	198		192	35
1977-10-21	89	31	17	2.0	180		165	35
1978-05-08	89	24	30	3.0	152		194	35
1978-11-27	102	24	24	5.0	248		144	32
1979-05-18	110	26	26	2.0	152		206	57
1979-11-26	80	63	24	2.0	171		270	42
1980-04-28	98	22	17	3.0	193		144	35
1981-04-28	104	24	25	5.0	250		104	46
1981-11-20	106	28	26	4.0	250		146	43
1982-03-31	108	32	23	4.0	250		163	35
1982-10-28	110	28	24	4.0	250		149	39
1983-05-13	114	28	25	5.0	252		151	41
1983-10-06	112	41	28	4.0	256		206	80
1984-06-29	126	32	21	2.0	171		217	47
1985-02-18	130	32	34	3.0	207		229	48
1985-12-10	144	24	25	1.0	170		274	49
1986-07-24	122	41	24	4.0	155		285	45
1987-10-02	119	35	38	2.0	169		257	56
1988-11-18	94	36	26	1.0	160	4.0	222	37
1989-06-12	97	30	26	2.0	129	6.0	207	43
1989-10-25	71	41	25	2.0	88	6.0	218	48
1990-11-01	119	31	27	2.0	169		270	44
1992-05-26	123	29	28	3.0	184	15.0	222	46
1993-11-30	98	33	28	2.0	173	0.0	206	40
1994-05-19	101	30	33	3.0	179		226	47
1995-05-09	124	34	26	2.0	186	0.0	248	34
1995-11-13	115	43	24	2.0	193	0.0	246	34
1996-05-27	110	35	26	2.0	129	0.0	242	50
1996-11-04	138	33	27	2.0	167	4.0	260	48
1997-11-10	129	30	27	2.0	194	0.0	255	46
1998-05-25	104	34	28	2.0	157	0.0	231	58
1998-10-06	130	32	27	2.0	145	0.0	278	43
1999-05-04	128	41	28	2.0	174	0.0	285	47
1999-10-30	136	30	30	2.0	174	0.0	248	46
2000-05-03	130	28	26	2.0	176	0.0	232	44
2000-11-11	105	34	32	2.0	95	0.0	255	47
2001-05-23	121	27	33	2.0	110	0.0	247	53
