Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1972-06-20	63	47	44	2.0	137		147	97
1976-10-11	127	49	22	3.0	222		309	43
1977-05-09	128	36	20	2.0	222		254	35
1977-10-14	134	49	19	3.0	240		274	50
1978-05-05	113	49	29	4.0	213		276	46
1978-12-11	170	44	23	5.0	282		360	38
1979-05-02	152	78	30	2.0	293		437	50
1979-11-23	160	73	35	2.0	293		451	64
1981-12-14	184	56	41	5.0	286		403	69
1982-03-25	96	26	18	5.0	271		120	27
1989-06-14	91	37	23	2.0	132	5.0	230	49
1989-09-28	110	54	35	2.0	126		268	83
1992-05-20	151	49	35	3.0	236	10.0	296	72
1992-10-18	104	55	40	3.0	168	2.0	266	80
1993-05-18	140	46	35	3.0	251	0.0	251	74
1993-12-02	112	63	38	3.0	248	0.0	272	75
1994-05-19	183	61	51	4.0	320		354	82
1995-05-10	164	69	42	2.0	275	0.0	308	95
1995-11-06	155	57	58	3.0	276	0.0	324	117
1996-05-28	140	67	45	2.0	160	0.0	396	117
1996-11-05	198	76	59	2.0	210	0.0	385	172
1997-11-10	160	74	53	3.0	166	0.0	355	150
1998-05-26	148	58	38	3.0	190	0.0	401	88
1998-10-20	315	113	377	12.0	245	0.0	821	754
1999-05-08	183	85	52	3.0	186	0.0	415	158
1999-10-14	173	61	55	3.0	204	0.0	341	142
2000-11-16	168	61	51	4.0	158	0.0	360	137
2001-05-04	180	75	49	3.0	198	0.0	428	116
