Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1972-06-23	188	95	90	4.0	267		198	443
1976-11-10	218	81	118	7.0	186		257	504
1977-05-04	238	92	140	5.0	234		281	504
1977-10-21	222	92	138	10.0	240		259	497
1978-05-04	254	93	120	8.0	256		278	511
1978-12-11	250	103	133	8.0	248		336	545
1979-05-08	228	129	154	4.0	207		327	603
1979-11-27	144	192	187	4.0	220		310	766
1981-05-05	430	176	385	12.0	94		682	1249
1981-12-20	260	109	736	15.0	250		528	1330
1982-03-26	262	108	750	18.0	256		408	1440
1989-06-15	240	129	201	9.0	130	6.0	530	560
2005-09-02	198	96	61	8.0	258	0.0	422	179
