Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1976-10-11	195	72	186	10.0	132		567	355
1977-03-28	168	52	100	6.0	228		364	195
1977-10-13	157	61	78	8.0	258		340	163
1978-05-05	171	57	80	8.0	189		376	199
1978-12-06	262	140	446	59.0	322		696	910
1979-05-02	220	87	200	7.0	317		515	354
1979-11-23	92	211	488	23.0	305		695	837
1981-05-05	146	69	138	12.0	171		453	231
1982-03-15	222	120	308	43.0	323		627	585
1989-06-14	154	56	85	4.0	168		363	172
1989-09-28	175	65	88	5.0	146		370	196
2005-06-14	220	78	144	11.0	279	0.0	492	380
