Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1972-03-28	61	43	34	14.0	183		154	71
1976-10-08	150	57	112	4.0	246		269	305
1977-04-28	164	52	99	4.0	216		226	277
1977-10-13	198	62	97	1.0	246		268	291
1978-05-04	188	72	195	12.0	232		370	415
1978-12-11	240	85	175	10.0	289		432	396
1979-05-08	254	78	213	10.0	132		532	440
1979-12-03	148	109	214	6.0	207		451	468
1980-05-28	208	69	175	10.0	272		336	402
1981-05-05	230	50	156	10.0	245		382	309
1981-11-20	161	52	108	7.0	256		279	174
1982-03-25	202	43	92	10.0	232		317	184
1989-06-30	265	94	141	4.0	175		205	569
1989-10-27	260	92	117	4.0	66		286	496
2004-07-27	377	154	109	3.0	195	0.0	250	770
2005-08-24	405	156	99	2.0	199	0.0	486	680
