Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1976-11-10	150	40	51	4.0	208		302	71
1977-03-31	138	31	38	4.0	174		241	64
1977-10-11	186	47	45	5.0	330		305	75
1978-05-10	130	41	61	7.0	207		300	64
1978-11-30	178	49	59	8.0	282		384	58
1979-05-10	184	41	60	6.0	287		322	85
1979-12-03	160	49	59	3.0	244		388	71
1980-04-25	142	46	42	6.0	250		257	64
1981-04-24	131	47	60	8.0	134		327	99
1981-11-20	146	45	49	7.0	264		244	90
1982-03-26	192	52	42	6.0	281		365	67
1982-10-25	144	34	60	8.0	140		330	92
1983-05-13	152	61	69	8.0	146		355	106
1983-10-06	92	109	69	10.0	152		470	106
1984-07-02	173	44	72	7.0	275		269	81
1985-02-18	203	54	70	5.0	293		375	87
1985-12-10	224	46	57	4.0	293		384	112
1987-10-05	147	48	70	5.0	138		345	99
1988-11-12	179	54	72	3.0	230	2.0	374	93
1989-06-07	142	47	61	3.0	145		334	90
1989-10-19	130	58	59	3.0	105		343	78
1992-05-27	92	20	28	3.0	166	8.0	181	36
