Fecha_toma_aq	Ca (mg/L)	Mg (mg/L)	Na (mg/L)	K (mg/L)	HCO3 (mg/L)	CO3 (mg/L)	SO4 (mg/L)	Cl (mg/L)
1972-09-20	116	67	147	6.0	252		210	328
1976-11-04	127	44	147	7.0	246		249	284
1977-05-05	146	45	156	6.0	216		237	319
1977-10-21	168	46	121	9.0	240		219	309
1978-05-09	151	41	130	9.0	293		217	257
1978-12-13	128	36	133	8.0	221		250	235
1979-05-02	120	75	147	5.0	220		301	298
1979-11-28	132	46	180	5.0	220		301	284
1981-04-23	140	39	179		256		222	308
1981-12-14	176	51	207	9.0	244		384	340
1982-03-30	172	73	184	10.0	244		355	382
1982-11-02	156	61	230	10.0	134		355	436
1989-06-06	137	61	282	7.0	149	6.0	213	552
1989-10-18	152	66	311	8.0	90	15.0	290	623
1993-11-29	106	56	194	7.0	206	24.0	218	330
1994-05-18	146	54	223	8.0	248		261	376
1995-05-11	128	56	188	5.0	236	0.0	250	332
1995-11-02	145	56	230	7.0	234	0.0	250	404
1996-05-27	194	87	321	7.0	146	0.0	262	788
1996-11-04	196	67	281	6.0	193	0.0	260	620
1997-11-10	160	57	268	6.0	146	0.0	260	536
1998-05-25	146	68	305	7.0	173	0.0	284	585
1998-10-20	176	62	326	8.0	182	0.0	323	643
1999-05-03	199	91	347	8.0	153	0.0	366	718
1999-10-28	206	78	350	5.0	147	0.0	278	800
2000-05-03	186	73	270	7.0	212	0.0	270	565
2000-11-10	252	96	324	9.0	98	0.0	356	888
2001-05-02	130	48	48	2.0	174	0.0	300	74
2005-02-03	240	56	215	9.0	340	0.0	269	510
